time,P
-60.0,-0.0803414467116476
-59.9,-0.08031101244966198
-59.8,-0.08027985435685409
-59.7,-0.08024791821499261
-59.6,-0.08021514980584626
-59.5,-0.08018149491118373
-59.4,-0.0801468993127737
-59.3,-0.08011130879238487
-59.2,-0.08007466913178596
-59.1,-0.08003692611274563
-59.0,-0.07999802551703258
-58.9,-0.07995791312641552
-58.8,-0.07991653472266315
-58.7,-0.07987383608754414
-58.6,-0.07982976300282721
-58.5,-0.07978426125028103
-58.4,-0.07973727661167432
-58.3,-0.07968875486877575
-58.2,-0.07963864180335405
-58.1,-0.07958688319717787
-58.0,-0.07953342483201593
-57.9,-0.07947821561777778
-57.8,-0.07942121697693631
-57.7,-0.07936239346010532
-57.6,-0.07930170961789855
-57.5,-0.07923913000092976
-57.4,-0.07917461915981272
-57.3,-0.0791081416451612
-57.2,-0.07903966200758895
-57.1,-0.07896914479770975
-57.0,-0.07889655456613735
-56.9,-0.0788218592180466
-56.8,-0.07874504007685668
-56.7,-0.07866608182054781
-56.6,-0.07858496912710027
-56.5,-0.07850168667449427
-56.4,-0.07841621914071006
-56.3,-0.07832855120372793
-56.2,-0.0782386675415281
-56.1,-0.07814655283209081
-56.0,-0.07805219175339631
-55.9,-0.07795557286456306
-55.8,-0.07785670024926238
-55.7,-0.07775558187230375
-55.6,-0.0776522256984967
-55.5,-0.07754663969265073
-55.4,-0.07743883181957537
-55.3,-0.0773288100440801
-55.2,-0.07721658233097448
-55.1,-0.07710215664506796
-55.0,-0.07698554095117009
-54.9,-0.07686674709312409
-54.8,-0.07674580243090806
-54.7,-0.07662273820353382
-54.6,-0.07649758565001318
-54.5,-0.07637037600935795
-54.4,-0.07624114052057994
-54.3,-0.07610991042269098
-54.2,-0.07597671695470289
-54.1,-0.07584159135562747
-54.0,-0.07570456486447653
-53.9,-0.0755656723242851
-53.8,-0.07542496299418096
-53.7,-0.07528248973731512
-53.6,-0.07513830541683852
-53.5,-0.0749924628959022
-53.4,-0.07484501503765711
-53.3,-0.07469601470525426
-53.2,-0.07454551476184465
-53.1,-0.07439356807057923
-53.0,-0.07424022749460901
-52.9,-0.0740855490111463
-52.8,-0.07392960105364874
-52.7,-0.07377245516963525
-52.6,-0.07361418290662479
-52.5,-0.07345485581213629
-52.4,-0.07329454543368873
-52.3,-0.07313332331880104
-52.2,-0.07297126101499217
-52.1,-0.07280843006978106
-52.0,-0.07264490203068666
-51.9,-0.07248075099402493
-51.8,-0.07231606125129986
-51.7,-0.07215091964281248
-51.6,-0.07198541300886374
-51.5,-0.07181962818975467
-51.4,-0.07165365202578627
-51.3,-0.07148757135725954
-51.2,-0.0713214730244755
-51.1,-0.07115544386773512
-51.0,-0.07098957072733941
-50.9,-0.07082394231726898
-50.8,-0.07065865484622273
-50.7,-0.07049380639657923
-50.6,-0.07032949505071696
-50.5,-0.07016581889101448
-50.4,-0.07000287599985026
-50.3,-0.06984076445960287
-50.2,-0.06967958235265083
-50.1,-0.06951942776137264
-50.0,-0.06936039876814683
-49.9,-0.06920259436327147
-49.8,-0.06904611716872285
-49.7,-0.06889107071439679
-49.6,-0.0687375585301891
-49.5,-0.06858568414599564
-49.4,-0.0684355510917122
-49.3,-0.06828726289723462
-49.2,-0.06814092309245874
-49.1,-0.06799663520728036
-49.0,-0.06785450277159533
-48.9,-0.0677146288115961
-48.8,-0.06757711433866172
-48.7,-0.06744205986046788
-48.6,-0.06730956588469024
-48.5,-0.06717973291900449
-48.4,-0.06705266147108634
-48.3,-0.06692845204861143
-48.2,-0.06680720515925549
-48.1,-0.06668902131069417
-48.0,-0.06657400101060315
-47.9,-0.06646224246731391
-47.8,-0.06635383469178108
-47.7,-0.06624886439561503
-47.6,-0.06614741829042617
-47.5,-0.0660495830878249
-47.4,-0.06595544549942159
-47.3,-0.06586509223682667
-47.2,-0.06577861001165053
-47.1,-0.06569608553550356
-47.0,-0.06561760551999615
-46.9,-0.06554325247204154
-46.8,-0.06547309207976428
-46.7,-0.06540718582659173
-46.6,-0.06534559519595128
-46.5,-0.06528838167127028
-46.4,-0.06523560673597611
-46.3,-0.06518733187349617
-46.2,-0.06514361856725781
-46.1,-0.06510452830068841
-46.0,-0.06507012255721535
-45.9,-0.0650404568632177
-45.8,-0.06501556291688135
-45.7,-0.06499546645934387
-45.6,-0.06498019323174287
-45.5,-0.06496976897521592
-45.4,-0.06496421943090061
-45.3,-0.06496357033993454
-45.2,-0.06496784744345527
-45.1,-0.06497707648260041
-45.0,-0.06499128319850754
-44.9,-0.06501048590028848
-44.8,-0.06503467316895194
-44.7,-0.06506382615348089
-44.6,-0.06509792600285828
-44.5,-0.06513695386606709
-44.4,-0.06518089089209024
-44.3,-0.06522971822991072
-44.2,-0.06528341702851145
-44.1,-0.06534196843687542
-44.0,-0.06540535360398557
-43.9,-0.06547354514813179
-43.8,-0.06554648156483169
-43.7,-0.06562409281890978
-43.599999999999994,-0.06570630887519065
-43.5,-0.06579305969849879
-43.4,-0.06588427525365875
-43.3,-0.06597988550549506
-43.2,-0.06607982041883227
-43.099999999999994,-0.06618400995849492
-43.0,-0.06629238408930753
-42.9,-0.06640486363286266
-42.8,-0.06652133283782492
-42.7,-0.06664166680962694
-42.599999999999994,-0.06676574065370137
-42.5,-0.06689342947548081
-42.4,-0.06702460838039791
-42.3,-0.0671591524738853
-42.2,-0.0672969368613756
-42.099999999999994,-0.06743783664830146
-42.0,-0.06758172694009548
-41.9,-0.06772847362512904
-41.8,-0.06787790572352832
-41.7,-0.06802984303835823
-41.599999999999994,-0.06818410537268371
-41.5,-0.06834051252956966
-41.4,-0.068498884312081
-41.3,-0.06865904052328263
-41.2,-0.06882080096623948
-41.099999999999994,-0.06898398544401649
-41.0,-0.06914841375967852
-40.9,-0.06931389708740704
-40.8,-0.06948021208584948
-40.7,-0.06964712678476977
-40.599999999999994,-0.0698144092139319
-40.5,-0.06998182740309976
-40.4,-0.07014914938203734
-40.3,-0.07031614318050859
